iteration,mg,algorithm,episode_reward,display_reward
188,1,F-MADRL,-31687.467874792084,-30316.37786004505
189,1,F-MADRL,-27967.26518024803,-30304.989136850796
190,1,F-MADRL,-30409.7136974314,-30299.8310509973
191,1,F-MADRL,-31803.442687007184,-30288.713220802
192,1,F-MADRL,-31399.660631944123,-30349.802595494388
193,1,F-MADRL,-28528.46163138091,-30157.339844302543
194,1,F-MADRL,-32214.798043050643,-30215.565170186936
195,1,F-MADRL,-30090.949467122195,-30180.832696584905
196,1,F-MADRL,-30172.64013102605,-30119.760372558856
197,1,F-MADRL,-29695.95280410489,-30134.263693500227
198,1,F-MADRL,-30670.300501982507,-30141.307006624367
199,1,F-MADRL,-29684.964373382543,-30102.628900832733
200,1,F-MADRL,-30079.60019033213,-30124.178083427305
201,1,F-MADRL,-27025.444374234503,-30005.095223976186
202,1,F-MADRL,-30278.31470625387,-29985.362521023544
203,1,F-MADRL,-28295.9376766058,-29990.170950636337
204,1,F-MADRL,-29603.57486987106,-30013.66058669643
205,1,F-MADRL,-31120.658078934368,-29957.363130689195
206,1,F-MADRL,-29368.11652769171,-29933.377930472856
207,1,F-MADRL,-30120.9185097247,-29888.51330102298
208,1,F-MADRL,-28744.29718279209,-29898.37873631609
209,1,F-MADRL,-30222.95681159775,-29876.620152184052
210,1,F-MADRL,-29253.235906125905,-29878.583339915458
211,1,F-MADRL,-30083.92813579294,-29859.778495252394
212,1,F-MADRL,-30000.19919235547,-29940.91196743139
213,1,F-MADRL,-28250.488069194333,-29803.432775207482
214,1,F-MADRL,-28787.53273289192,-29836.24347731324
215,1,F-MADRL,-30471.18217262139,-29838.70221632084
216,1,F-MADRL,-31595.725487028874,-29830.393528321707
217,1,F-MADRL,-31025.005853106595,-29815.407337168203
218,1,F-MADRL,-30932.6342346004,-29911.574241296985
219,1,F-MADRL,-30234.928151511624,-29832.379445635426
220,1,F-MADRL,-29226.765462509327,-29797.81208545091
221,1,F-MADRL,-30129.814575996337,-29796.09906324972
222,1,F-MADRL,-31763.792564584637,-29878.81265366891
223,1,F-MADRL,-28378.46840697345,-29787.139369868553
224,1,F-MADRL,-29901.604839702868,-29795.804988521362
225,1,F-MADRL,-29622.97552791333,-29777.540002024612
226,1,F-MADRL,-30777.59269606859,-29927.625934897973
227,1,F-MADRL,-29009.64698196837,-29876.879225926554
228,1,F-MADRL,-30560.944337221405,-29967.479492351176
229,1,F-MADRL,-27484.437376839625,-29882.71399262992
230,1,F-MADRL,-30652.621768074936,-29863.99254019554
231,1,F-MADRL,-30615.00713727947,-29913.868164579053
232,1,F-MADRL,-30471.4421192488,-29927.88910896002
233,1,F-MADRL,-33133.09639776386,-30103.441077558888
234,1,F-MADRL,-28744.8423790562,-30044.31650025723
235,1,F-MADRL,-30652.440962670524,-30100.28470251901
236,1,F-MADRL,-29945.587768984296,-30094.751087846664
237,1,F-MADRL,-29204.887134074877,-30062.938605515446
238,1,F-MADRL,-30096.05809318849,-30136.76140647521
239,1,F-MADRL,-28974.272376911074,-30144.230992235975
240,1,F-MADRL,-29755.71036775392,-30115.612120041274
241,1,F-MADRL,-27525.902034127816,-29952.819181925235
242,1,F-MADRL,-28557.50320416496,-29854.119075967566
243,1,F-MADRL,-28872.98511966629,-29771.733111370206
244,1,F-MADRL,-30312.799897413104,-29774.84798120626
245,1,F-MADRL,-28848.936044916754,-29759.734804502557
246,1,F-MADRL,-32263.40549380698,-29845.078441214984
247,1,F-MADRL,-27683.23096282732,-29681.855977144693
248,1,F-MADRL,-29893.84938295999,-29742.471216184153
249,1,F-MADRL,-25962.468801866173,-29584.905774670686
250,1,F-MADRL,-26912.74674257,-29476.496623256953
251,1,F-MADRL,-26395.86416486973,-29301.227482009
252,1,F-MADRL,-31272.53496997693,-29391.743001529343
253,1,F-MADRL,-29571.41029877345,-29352.161639991427
254,1,F-MADRL,-27772.721605589893,-29363.693009141432
255,1,F-MADRL,-29809.45981110956,-29329.966530862817
256,1,F-MADRL,-30024.579445614505,-29306.349423196218
257,1,F-MADRL,-29507.133347074683,-29267.777072309254
258,1,F-MADRL,-28592.64886580054,-29086.159171030722
259,1,F-MADRL,-29899.49481478407,-29132.345268459838
260,1,F-MADRL,-30076.95020809569,-29109.32563827684
261,1,F-MADRL,-28038.8037045232,-29033.0542756984
262,1,F-MADRL,-29858.990243594613,-29059.21840007919
263,1,F-MADRL,-28711.123159412145,-29003.82100272814
264,1,F-MADRL,-30094.823486786147,-29048.643047123136
265,1,F-MADRL,-29496.74053379877,-29038.284253764934
266,1,F-MADRL,-30689.02665155329,-29164.80923846195
267,1,F-MADRL,-28119.1757961431,-29147.27614214108
268,1,F-MADRL,-28274.79310048945,-29123.348461374004
269,1,F-MADRL,-30600.018630651084,-29134.83721070352
270,1,F-MADRL,-28483.57867276838,-29120.222915817587
271,1,F-MADRL,-28191.45709370341,-28957.34497981345
272,1,F-MADRL,-29251.85976292824,-29020.090131817484
273,1,F-MADRL,-31816.428219886595,-29096.99328529455
274,1,F-MADRL,-30609.172261707005,-29282.86142368818
275,1,F-MADRL,-28191.967578442345,-29334.030257123075
276,1,F-MADRL,-28155.553026966925,-29404.41781160696
277,1,F-MADRL,-29474.25639329247,-29332.486668539583
278,1,F-MADRL,-27792.70260663433,-29261.338360854013
279,1,F-MADRL,-28612.18334433828,-29294.916830403952
280,1,F-MADRL,-29786.186489142303,-29293.98589752526
281,1,F-MADRL,-25296.630323579368,-29104.867932643858
282,1,F-MADRL,-31226.598498064886,-29173.646538683464
283,1,F-MADRL,-27468.14641501595,-29128.666440652083
284,1,F-MADRL,-26854.819395054878,-29006.879423862916
285,1,F-MADRL,-29071.071091402173,-28966.644259195175
286,1,F-MADRL,-27195.646978247845,-28932.91799014416
287,1,F-MADRL,-29690.314728900976,-28926.170969556413
288,1,F-MADRL,-29103.745510142347,-28941.87586358562
289,1,F-MADRL,-29415.089990278862,-28914.68652372533
290,1,F-MADRL,-29853.84920349104,-28928.970870513018
291,1,F-MADRL,-29550.91159724644,-28883.44626834075
292,1,F-MADRL,-28650.204301793885,-28904.687408566777
293,1,F-MADRL,-27510.20048493531,-28874.103703944613
294,1,F-MADRL,-30201.867218952284,-28858.177647476663
295,1,F-MADRL,-32123.98717717888,-29003.79398765308
296,1,F-MADRL,-29451.93091757887,-29054.212940608097
297,1,F-MADRL,-31007.22243150378,-29124.427447351118
298,1,F-MADRL,-27578.69749601213,-28954.918218396142
299,1,F-MADRL,-28933.133887047275,-28887.876683409748
300,1,F-MADRL,-27420.293063480814,-28857.009702811294
301,1,F-MADRL,-27715.20772392315,-28839.395890689542
302,1,F-MADRL,-27582.58210243805,-28763.728919055364
303,1,F-MADRL,-29487.54025840945,-28831.52242512637
304,1,F-MADRL,-28724.987610145945,-28836.034595758676
305,1,F-MADRL,-27288.734103629977,-28736.13650033818
306,1,F-MADRL,-29090.43211873011,-28887.88857214421
307,1,F-MADRL,-28535.122250457527,-28780.22952223992
308,1,F-MADRL,-28453.783547499,-28819.655007539244
309,1,F-MADRL,-27808.204887316253,-28857.790427229695
310,1,F-MADRL,-30201.8676165782,-28903.022288236738
311,1,F-MADRL,-28854.00623792206,-28969.356658623703
312,1,F-MADRL,-28387.389259670577,-28917.23963985449
313,1,F-MADRL,-28671.762639210967,-28899.960325017233
314,1,F-MADRL,-23557.55887875881,-28665.65908055643
315,1,F-MADRL,-29249.585134289915,-28641.488517788388
316,1,F-MADRL,-28067.750237473985,-28582.162063397485
317,1,F-MADRL,-30799.628352667853,-28668.13902543245
318,1,F-MADRL,-30440.88436388752,-28785.366380590534
319,1,F-MADRL,-27124.02584961198,-28662.252725816925
320,1,F-MADRL,-28008.86288252951,-28497.64775403095
321,1,F-MADRL,-29044.565809712218,-28481.353149716288
322,1,F-MADRL,-29058.24985552593,-28403.39424667717
323,1,F-MADRL,-29157.52756810861,-28466.547449561025
324,1,F-MADRL,-27175.20987211212,-28396.23048896362
325,1,F-MADRL,-28783.62996286105,-28450.76396493883
326,1,F-MADRL,-26680.707632769183,-28409.38396129267
327,1,F-MADRL,-29405.78002243059,-28482.311878092372
328,1,F-MADRL,-26209.57071426651,-28351.193096326653
329,1,F-MADRL,-29029.474095226095,-28363.37255572986
330,1,F-MADRL,-28580.389440237563,-28415.03876919416
331,1,F-MADRL,-26130.50022568475,-28296.641493472354
332,1,F-MADRL,-27210.589395605784,-28243.660179278282
333,1,F-MADRL,-30462.762474468567,-28324.01933635706
334,1,F-MADRL,-28394.2692355918,-28347.461910288086
